Name,PLR
Stülerstraße,01011101
Großer Tiergarten,01011102
Lützowstraße,01011103
Körnerstraße,01011104
Nördlicher Landwehrkanal,01011105
Wilhelmstraße,01011201
Unter den Linden Nord,01011202
Unter den Linden Süd,01011203
Leipziger Straße,01011204
Charitéviertel,01011301
Oranienburger Straße,01011302
Alexanderplatzviertel,01011303
Karl-Marx-Allee,01011304
Heine-Viertel West,01011305
Heine-Viertel Ost,01011306
Invalidenstraße,01011401
Arkonaplatz,01011402
Huttenkiez,01022101
Beusselkiez,01022102
Westhafen,01022103
Emdener Straße,01022104
Zwinglistraße,01022105
Elberfelder Straße,01022106
Stephankiez,01022201
Heidestraße,01022202
Lübecker Straße,01022203
Thomasiusstraße,01022204
Zillesiedlung,01022205
Lüneburger Straße,01022206
Hansaviertel,01022207
Soldiner Straße,01033101
Gesundbrunnen,01033102
Brunnenstraße,01033201
Humboldthain Süd,01033202
Humboldthain Nordwest,01033203
Rehberge,01044101
Schillerpark,01044102
Westliche Müllerstraße,01044103
Reinickendorfer Straße,01044201
Sparrplatz,01044202
Leopoldplatz,01044203
Askanischer Platz,02010101
Mehringplatz,02010102
Moritzplatz,02010103
Wassertorplatz,02010104
Gleisdreieck/Entwicklungsgebiet,02020201
Rathaus Yorckstraße,02020202
Viktoriapark,02020203
Urbanstraße,02020204
Chamissokiez,02020205
Graefekiez,02020206
Oranienplatz,02030301
Lausitzer Platz,02030302
Reichenberger Straße,02030401
Wrangelkiez,02030402
Barnimkiez,02040501
Friedenstraße,02040502
Richard-Sorge-Viertel,02040503
Andreasviertel,02040701
Weberwiese,02040702
Wriezener Bahnhof/Entwicklungsgebiet,02040703
Hausburgviertel,02050601
Samariterviertel,02050602
Traveplatz,02050801
Boxhagener Platz,02050802
Stralauer Kiez,02050803
Stralauer Halbinsel,02050804
Bucher Forst,03010101
Buch,03010102
Lietzengraben,03010104
Blankenfelde,03020203
Niederschönhausen,03020209
Herthaplatz,03020210
Buchholz,03020307
Karow Nord,03030405
Alt-Karow,03030406
Blankenburg,03030711
Heinersdorf,03030715
Märchenland,03030716
Rosenthal,03040508
Wilhelmsruh,03040512
Schönholz,03040513
Pankow Zentrum,03040614
Pankow Süd,03040818
Gustav-Adolf-Straße,03050919
Weißer See,03050920
Weißenseer Spitze,03050923
Behaimstraße,03050924
Komponistenviertel Weißensee,03050925
Rennbahnstraße,03051017
Buschallee,03051021
Hansastraße,03051022
Arnimplatz,03061126
Falkplatz,03061131
Humannplatz,03061227
Erich-Weinert-Straße,03061228
Helmholtzplatz,03061332
Greifswalder Straße,03061429
Volkspark Prenzlauer Berg,03061430
Anton-Saefkow-Park,03061434
Conrad-Blenkle-Straße,03061435
Eldenaer Straße,03061441
Teutoburger Platz,03071536
Kollwitzplatz,03071537
Thälmannpark,03071633
Winsstraße,03071638
Bötzowstraße,03071639
Jungfernheide,04010101
Plötzensee,04010102
Paul-Hertz-Siedlung,04010103
Olympiagelände,04020204
Siedlung Ruhleben,04020205
Angerburger Allee,04020206
Flatowallee,04020207
Kranzallee,04020208
Eichkamp,04020209
Park Ruhwald,04020310
Reichsstraße,04020311
Branitzer Platz,04020312
Königin-Elisabeth-Straße,04020313
Messegelände,04020314
Schloßgarten,04030415
Klausenerplatz,04030416
Schloßstraße,04030417
Tegeler Weg,04030518
Kaiserin-Augusta-Allee,04030519
Alt-Lietzow,04030620
Spreestadt,04030621
Richard-Wagner-Straße,04030622
Ernst-Reuter-Platz,04030623
Lietzensee,04030724
Amtsgerichtsplatz,04030725
Droysenstraße,04030726
Karl-August-Platz,04030827
Savignyplatz,04030828
Hindemithplatz,04030929
George-Grosz-Platz,04030930
Breitscheidplatz,04030931
Halensee,04031032
Güterbahnhof Grunewald,04041133
Bismarckallee,04041134
